run;dhw_lph_per_person;people_m2_per_person;gen_lighting_gain;computer_gain;Gas_MWh;Elec_MWh;Gas_kWh/m2;Elec_kWh/m2;Boilers_MWh;Chillers_MWh;Boilers_kWh/m2;Chillers_kWh/m2;CE_kgCO2/m2;UK_BER_kgCO2/m2;EUI_kWh/m2;Ta_max_degC;Boiler_max_kW;Chiller_max_kW;Interior_lighting_kWh/m2;Exterior_lighting_kWh/m2;Space_heating_(gas)_kWh/m2;Space_heating_(elec)_kWh/m2;Space_cooling_kWh/m2;Pumps_kWh/m2;Fans_interior_kWh/m2;DHW_heating_kWh/m2;Receptacle_equipment_kWh/m2;Elevators_escalators_kWh/m2;Data_center_equipment_kWh/m2;Cooking_(gas)_kWh/m2;Cooking_(elec)_kWh/m2;Refrigeration_kWh/m2;Wind_PV_kWh/m2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;0.78;14.22;2.32;14;;;0.0;89.8;483.7;418.5;18.1;15.7;43.4;0.0;83.6;73.3;83.3;192.5;6.1;0.9;0.0;7.3;17.7;9.8;6.4;18.1;12.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;0.78;14.22;2.32;26;;;0.0;98.4;483.7;462.1;18.1;17.3;47.9;0.0;92.3;73.6;83.3;192.3;6.1;0.9;0.0;6.2;19.4;9.8;6.4;18.1;20.7;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;0.78;14.22;1.62;20;;;0.0;92.7;483.7;433.1;18.1;16.2;44.9;0.0;86.6;73.4;83.3;192.5;4.9;0.9;0.0;6.9;18.3;9.8;6.4;18.1;16.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;0.78;14.22;1.62;14;;;0.0;88.5;483.7;411.6;18.1;15.4;42.7;0.0;82.3;73.3;83.3;192.6;4.9;0.9;0.0;7.5;17.4;9.8;6.4;18.1;12.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;0.78;14.22;1.62;26;;;0.0;97.1;483.7;455.1;18.1;17.1;47.2;0.0;91.0;73.5;83.3;192.6;4.9;0.9;0.0;6.3;19.1;9.8;6.4;18.1;20.7;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;0.78;14.22;3.02;20;;;0.0;95.4;483.7;447.0;18.1;16.8;46.3;0.0;89.3;73.5;83.3;192.4;7.3;0.9;0.0;6.6;18.8;9.8;6.4;18.1;16.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;0.78;14.22;3.02;14;;;0.0;91.1;483.7;425.2;18.1;15.9;44.1;0.0;85.0;73.4;83.3;192.6;7.3;0.9;0.0;7.1;18.0;9.8;6.4;18.1;12.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;0.78;14.22;3.02;26;;;0.0;99.8;483.7;469.2;18.1;17.6;48.6;0.0;93.7;73.6;83.3;192.6;7.3;0.9;0.0;6.0;19.7;9.8;6.4;18.1;20.7;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;0.78;26.4;2.32;20;;;0.0;84.6;260.4;361.1;9.8;13.5;40.7;0.0;78.4;72.8;44.8;182.2;6.1;0.9;0.0;9.0;15.4;9.7;6.4;9.8;16.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;0.78;26.4;2.32;14;;;0.0;80.6;260.5;342.4;9.8;12.8;38.6;0.0;74.5;72.7;44.8;178.7;6.1;0.9;0.0;9.7;14.7;9.7;6.4;9.8;12.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;0.78;26.4;2.32;26;;;0.0;88.6;260.4;380.6;9.8;14.3;42.8;0.0;82.5;73.0;44.8;189.6;6.1;0.9;0.0;8.3;16.2;9.7;6.3;9.8;20.7;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;0.78;26.4;1.62;20;;;0.0;83.3;260.4;355.0;9.8;13.3;40.1;0.0;77.2;72.8;44.8;180.2;4.9;0.9;0.0;9.2;15.2;9.7;6.4;9.8;16.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;0.78;26.4;1.62;14;;;0.0;79.4;260.5;336.4;9.8;12.6;38.0;0.0;73.2;72.6;44.8;176.3;4.9;0.9;0.0;10.0;14.5;9.7;6.4;9.8;12.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;0.78;26.4;1.62;26;;;0.0;87.4;260.4;374.1;9.8;14.0;42.2;0.0;81.2;72.9;44.8;186.6;4.9;0.9;0.0;8.5;15.9;9.7;6.3;9.8;20.7;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;0.78;26.4;3.02;20;;;0.0;85.8;260.4;367.3;9.8;13.8;41.4;0.0;79.7;72.9;44.8;185.6;7.3;0.9;0.0;8.8;15.7;9.7;6.4;9.8;16.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;0.78;26.4;3.02;14;;;0.0;81.8;260.4;348.3;9.8;13.1;39.3;0.0;75.7;72.7;44.8;181.9;7.3;0.9;0.0;9.5;14.9;9.7;6.4;9.8;12.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;0.78;26.4;3.02;26;;;0.0;89.9;260.4;387.2;9.8;14.5;43.5;0.0;83.8;73.0;44.8;190.1;7.3;0.9;0.0;8.2;16.4;9.7;6.3;9.8;20.7;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;1.44;20.31;2.32;20;;;0.0;98.5;625.3;387.4;23.4;14.5;48.0;0.0;92.4;73.1;107.7;190.3;6.1;0.9;0.0;8.2;16.5;9.7;6.4;23.4;16.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;1.44;20.31;2.32;14;;;0.0;94.4;625.3;367.4;23.4;13.8;45.8;0.0;88.3;72.9;107.7;189.0;6.1;0.9;0.0;8.8;15.7;9.7;6.4;23.4;12.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;1.44;20.31;2.32;26;;;0.0;102.7;625.3;408.2;23.4;15.3;50.1;0.0;96.6;73.2;107.7;191.4;6.1;0.9;0.0;7.5;17.3;9.8;6.3;23.4;20.7;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;1.44;20.31;1.62;20;;;0.0;97.2;625.3;380.7;23.4;14.3;47.3;0.0;91.1;73.0;107.7;189.6;4.9;0.9;0.0;8.4;16.2;9.7;6.4;23.4;16.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;1.44;20.31;1.62;14;;;0.0;93.2;625.3;361.0;23.4;13.5;45.2;0.0;87.0;72.8;107.7;186.4;4.9;0.9;0.0;9.0;15.5;9.7;6.4;23.4;12.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;1.44;20.31;1.62;26;;;0.0;101.4;625.3;401.4;23.4;15.1;49.5;0.0;95.3;73.1;107.7;190.8;4.9;0.9;0.0;7.7;17.0;9.8;6.3;23.4;20.7;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;1.44;20.31;3.02;20;;;0.0;99.8;625.3;393.9;23.4;14.8;48.6;0.0;93.7;73.1;107.7;191.0;7.3;0.9;0.0;8.0;16.7;9.7;6.4;23.4;16.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;1.44;20.31;3.02;14;;;0.0;95.7;625.3;373.8;23.4;14.0;46.5;0.0;89.5;73.0;107.7;190.0;7.3;0.9;0.0;8.6;15.9;9.7;6.4;23.4;12.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
