run;dhw_lph_per_person;people_m2_per_person;gen_lighting_gain;computer_gain;Gas_MWh;Elec_MWh;Gas_kWh/m2;Elec_kWh/m2;Boilers_MWh;Chillers_MWh;Boilers_kWh/m2;Chillers_kWh/m2;CE_kgCO2/m2;UK_BER_kgCO2/m2;EUI_kWh/m2;Ta_max_degC;Boiler_max_kW;Chiller_max_kW;Interior_lighting_kWh/m2;Exterior_lighting_kWh/m2;Space_heating_(gas)_kWh/m2;Space_heating_(elec)_kWh/m2;Space_cooling_kWh/m2;Pumps_kWh/m2;Fans_interior_kWh/m2;DHW_heating_kWh/m2;Receptacle_equipment_kWh/m2;Elevators_escalators_kWh/m2;Data_center_equipment_kWh/m2;Cooking_(gas)_kWh/m2;Cooking_(elec)_kWh/m2;Refrigeration_kWh/m2;Wind_PV_kWh/m2
39;0.7;17.24;Lighting2;Equipment1;0.0;3290.99;0.0;123.37;149.87;0.0;5.62;0.0;61.89;0.0;123.37;3.934.000.015.258.780;45.62;0.05;6.58;0.6;0.0;17.65;21.91;0.0;12.7;22.7;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
40;0.7;17.24;Lighting2;Equipment2;0.0;3196.78;0.0;119.84;149.87;0.0;5.62;0.0;60.06;0.0;119.84;3.931.999.969.482.420;45.62;0.05;6.58;0.6;0.0;20.46;21.03;0.0;13.06;22.7;21.7;6.12;0.0;0.0;0.0;2.57;-4.13
41;0.7;17.24;Lighting2;Equipment3;0.0;3405.09;0.0;127.65;149.87;0.0;5.62;0.0;64.11;0.0;127.65;3.936.000.061.035.150;45.62;0.05;6.58;0.6;0.0;16.72;23.10;0.0;12.81;22.7;31.3;6.12;0.0;0.0;0.0;2.57;-4.13
42;0.7;17.24;Lighting3;Equipment1;0.0;3367.8;0.0;126.25;149.87;0.0;5.62;0.0;63.38;0.0;126.25;39.349.998.474.121.000;45.62;0.05;9.35;0.6;0.0;16.81;22.77;0.0;12.75;22.7;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
43;0.7;17.24;Lighting3;Equipment2;0.0;3241.12;0.0;121.5;149.87;0.0;5.62;0.0;60.92;0.0;121.5;3.933.000.183.105.460;45.62;0.05;9.35;0.6;0.0;18.98;21.55;0.0;12.89;22.7;21.7;6.12;0.0;0.0;0.0;2.57;-4.13
44;0.7;17.24;Lighting3;Equipment3;0.0;3473.47;0.0;130.21;149.87;0.01;5.62;0.0;65.44;0.0;130.21;39.369.998.931.884.700;45.62;0.05;9.35;0.6;0.0;16.06;23.55;0.0;12.8;22.7;31.3;6.12;0.0;0.0;0.0;2.57;-4.13
45;0.7;5.75;Lighting1;Equipment1;0.0;4511.85;0.0;169.14;449.26;0.02;16.84;0.0;85.64;0.0;169.14;4.184.000.015.258.780;136.76;0.08;7.51;0.6;0.0;9.84;28.68;0.0;12.79;68.08;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
46;0.7;5.75;Lighting1;Equipment2;0.0;4338.7;0.0;162.65;449.26;0.02;16.84;0.0;82.27;0.0;162.65;4.181.999.969.482.420;136.76;0.08;7.51;0.6;0.0;10.8;27.17;0.0;12.7;68.08;21.7;6.12;0.0;0.0;0.0;2.57;-4.13
47;0.7;5.75;Lighting1;Equipment3;0.0;4619.25;0.0;173.17;449.26;0.02;16.84;0.0;87.73;0.0;173.17;4.186.000.061.035.150;136.76;0.1;7.51;0.6;0.0;9.33;29.30;0.0;12.83;68.08;31.3;6.12;0.0;0.0;0.0;2.57;-4.13
48;0.7;5.75;Lighting2;Equipment1;0.0;4485.99;0.0;168.17;449.26;0.02;16.84;0.0;85.14;0.0;168.17;4.184.000.015.258.780;136.76;0.09;6.58;0.6;0.0;9.99;28.50;0.0;12.78;68.08;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
49;0.7;5.75;Lighting2;Equipment2;0.0;4314.4;0.0;161.74;449.26;0.02;16.84;0.0;81.8;0.0;161.74;4.181.999.969.482.420;136.76;0.08;6.58;0.6;0.0;11.06;26.94;0.0;12.7;68.08;21.7;6.12;0.0;0.0;0.0;2.57;-4.13
50;0.7;5.75;Lighting2;Equipment3;0.0;4593.03;0.0;172.19;449.26;0.02;16.84;0.0;87.22;0.0;172.19;41.849.998.474.121.000;136.76;0.09;6.58;0.6;0.0;9.48;29.12;0.0;12.81;68.08;31.3;6.12;0.0;0.0;0.0;2.57;-4.13
51;0.7;5.75;Lighting3;Equipment1;0.0;4564.2;0.0;171.1;449.26;0.02;16.84;0.0;86.66;0.0;171.1;41.849.998.474.121.000;136.76;0.09;9.35;0.6;0.0;9.57;29.03;0.0;12.81;68.08;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
52;0.7;5.75;Lighting3;Equipment2;0.0;4395.74;0.0;164.79;449.26;0.02;16.84;0.0;83.38;0.0;164.79;4.183.000.183.105.460;136.76;0.09;9.35;0.6;0.0;10.4;27.78;0.0;12.76;68.08;21.7;6.12;0.0;0.0;0.0;2.57;-4.13
53;0.7;5.75;Lighting3;Equipment3;0.0;4672.21;0.0;175.15;449.26;0.02;16.84;0.0;88.76;0.0;175.15;4.186.000.061.035.150;136.76;0.09;9.35;0.6;0.0;9.06;29.66;0.0;12.86;68.08;31.3;6.12;0.0;0.0;0.0;2.57;-4.13
54;0.2;8.6;Lighting1;Equipment1;0.0;3031.17;0.0;113.63;85.83;0.01;3.22;0.0;56.83;0.0;113.63;40.599.998.474.121.000;26.13;0.06;7.51;0.6;0.0;12.78;25.56;0.0;12.74;13.01;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
55;0.2;8.6;Lighting1;Equipment2;0.0;2893.84;0.0;108.49;85.83;0.01;3.22;0.0;54.16;0.0;108.49;4.058.000.183.105.460;26.13;0.06;7.51;0.6;0.0;14.68;24.26;0.0;12.82;13.01;21.7;6.12;0.0;0.0;0.0;2.57;-4.13
56;0.2;8.6;Lighting1;Equipment3;0.0;3138.35;0.0;117.65;85.83;0.01;3.22;0.0;58.92;0.0;117.65;4.061.000.061.035.150;26.13;0.06;7.51;0.6;0.0;12.11;26.31;0.0;12.78;13.01;31.3;6.12;0.0;0.0;0.0;2.57;-4.13
57;0.2;8.6;Lighting2;Equipment1;0.0;3004.65;0.0;112.64;85.83;0.01;3.22;0.0;56.32;0.0;112.64;40.599.998.474.121.000;26.13;0.06;6.58;0.6;0.0;13.0;25.30;0.0;12.72;13.01;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
58;0.2;8.6;Lighting2;Equipment2;0.0;2876.08;0.0;107.82;85.83;0.01;3.22;0.0;53.82;0.0;107.82;4.058.000.183.105.460;26.13;0.06;6.58;0.6;0.0;15.11;24.06;0.0;12.86;13.01;21.7;6.12;0.0;0.0;0.0;2.57;-4.13
59;0.2;8.6;Lighting2;Equipment3;0.0;3114.74;0.0;116.77;85.83;0.01;3.22;0.0;58.46;0.0;116.77;4.061.000.061.035.150;26.13;0.06;6.58;0.6;0.0;12.31;26.16;0.0;12.78;13.01;31.3;6.12;0.0;0.0;0.0;2.57;-4.13
60;0.2;8.6;Lighting3;Equipment1;0.0;3085.76;0.0;115.68;85.83;0.01;3.22;0.0;57.9;0.0;115.68;4.061.000.061.035.150;26.13;0.07;9.35;0.6;0.0;12.4;26.06;0.0;12.78;13.01;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
61;0.2;8.6;Lighting3;Equipment2;0.0;2930.7;0.0;109.87;85.83;0.01;3.22;0.0;54.88;0.0;109.87;4.059.000.015.258.780;26.13;0.06;9.35;0.6;0.0;13.89;24.62;0.0;12.77;13.01;21.7;6.12;0.0;0.0;0.0;2.57;-4.13
62;0.2;8.6;Lighting3;Equipment3;0.0;3186.18;0.0;119.44;85.83;0.01;3.22;0.0;59.85;0.0;119.44;40.619.998.931.884.700;26.13;0.07;9.35;0.6;0.0;11.71;26.64;0.0;12.79;13.01;31.3;6.12;0.0;0.0;0.0;2.57;-4.13
63;0.2;17.24;Lighting1;Equipment1;0.0;2881.33;0.0;108.02;42.82;0.0;1.61;0.0;53.92;0.0;108.02;39.349.998.474.121.000;13.03;0.05;7.51;0.6;0.0;17.33;22.16;0.0;12.7;6.49;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
64;0.2;17.24;Lighting1;Equipment2;0.0;2778.39;0.0;104.16;42.82;0.0;1.61;0.0;51.92;0.0;104.16;3.933.000.183.105.460;13.03;0.05;7.51;0.6;0.0;19.95;21.20;0.0;13.0;6.49;21.7;6.12;0.0;0.0;0.0;2.57;-4.13
65;0.2;17.24;Lighting1;Equipment3;0.0;2997.9;0.0;112.39;42.82;0.0;1.61;0.0;56.19;0.0;112.39;3.936.000.061.035.150;13.03;0.05;7.51;0.6;0.0;16.51;23.31;0.0;12.82;6.49;31.3;6.12;0.0;0.0;0.0;2.57;-4.13
66;0.2;17.24;Lighting2;Equipment1;0.0;2858.38;0.0;107.16;42.82;0.0;1.61;0.0;53.47;0.0;107.16;3.934.000.015.258.780;13.03;0.05;6.58;0.6;0.0;17.65;21.91;0.0;12.7;6.49;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
67;0.2;17.24;Lighting2;Equipment2;0.0;2764.17;0.0;103.62;42.82;0.0;1.61;0.0;51.64;0.0;103.62;3.931.999.969.482.420;13.03;0.05;6.58;0.6;0.0;20.46;21.03;0.0;13.06;6.49;21.7;6.12;0.0;0.0;0.0;2.57;-4.13
68;0.2;17.24;Lighting2;Equipment3;0.0;2972.48;0.0;111.43;42.82;0.0;1.61;0.0;55.69;0.0;111.43;3.936.000.061.035.150;13.03;0.05;6.58;0.6;0.0;16.72;23.10;0.0;12.81;6.49;31.3;6.12;0.0;0.0;0.0;2.57;-4.13
69;0.2;17.24;Lighting3;Equipment1;0.0;2935.2;0.0;110.04;42.82;0.0;1.61;0.0;54.97;0.0;110.04;39.349.998.474.121.000;13.03;0.05;9.35;0.6;0.0;16.81;22.77;0.0;12.75;6.49;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
70;0.2;17.24;Lighting3;Equipment2;0.0;2808.51;0.0;105.29;42.82;0.0;1.61;0.0;52.5;0.0;105.29;3.933.000.183.105.460;13.03;0.05;9.35;0.6;0.0;18.98;21.55;0.0;12.89;6.49;21.7;6.12;0.0;0.0;0.0;2.57;-4.13
71;0.2;17.24;Lighting3;Equipment3;0.0;3040.86;0.0;114.0;42.82;0.01;1.61;0.0;57.02;0.0;114.0;39.369.998.931.884.700;13.03;0.05;9.35;0.6;0.0;16.06;23.55;0.0;12.8;6.49;31.3;6.12;0.0;0.0;0.0;2.57;-4.13
72;0.2;5.75;Lighting1;Equipment1;0.0;3214.69;0.0;120.51;128.36;0.02;4.81;0.0;60.41;0.0;120.51;4.184.000.015.258.780;39.08;0.08;7.51;0.6;0.0;9.84;28.68;0.0;12.79;19.45;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
73;0.2;5.75;Lighting1;Equipment2;0.0;3041.54;0.0;114.02;128.36;0.02;4.81;0.0;57.04;0.0;114.02;4.181.999.969.482.420;39.08;0.08;7.51;0.6;0.0;10.8;27.17;0.0;12.7;19.45;21.7;6.12;0.0;0.0;0.0;2.57;-4.13
74;0.2;5.75;Lighting1;Equipment3;0.0;3322.09;0.0;124.54;128.36;0.02;4.81;0.0;62.5;0.0;124.54;4.186.000.061.035.150;39.08;0.1;7.51;0.6;0.0;9.33;29.30;0.0;12.83;19.45;31.3;6.12;0.0;0.0;0.0;2.57;-4.13
75;0.2;5.75;Lighting2;Equipment1;0.0;3188.83;0.0;119.54;128.36;0.02;4.81;0.0;59.9;0.0;119.54;4.184.000.015.258.780;39.08;0.09;6.58;0.6;0.0;9.99;28.50;0.0;12.78;19.45;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
76;0.2;5.75;Lighting2;Equipment2;0.0;3017.24;0.0;113.11;128.36;0.02;4.81;0.0;56.56;0.0;113.11;4.181.999.969.482.420;39.08;0.08;6.58;0.6;0.0;11.06;26.94;0.0;12.7;19.45;21.7;6.12;0.0;0.0;0.0;2.57;-4.13
77;0.2;5.75;Lighting2;Equipment3;0.0;3295.87;0.0;123.56;128.36;0.02;4.81;0.0;61.99;0.0;123.56;41.849.998.474.121.000;39.08;0.09;6.58;0.6;0.0;9.48;29.12;0.0;12.81;19.45;31.3;6.12;0.0;0.0;0.0;2.57;-4.13
78;0.2;5.75;Lighting3;Equipment1;0.0;3267.04;0.0;122.48;128.36;0.02;4.81;0.0;61.42;0.0;122.48;41.849.998.474.121.000;39.08;0.09;9.35;0.6;0.0;9.57;29.03;0.0;12.81;19.45;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
79;0.2;5.75;Lighting3;Equipment2;0.0;3098.58;0.0;116.16;128.36;0.02;4.81;0.0;58.15;0.0;116.16;4.183.000.183.105.460;39.08;0.09;9.35;0.6;0.0;10.4;27.78;0.0;12.76;19.45;21.7;6.12;0.0;0.0;0.0;2.57;-4.13
80;0.2;5.75;Lighting3;Equipment3;0.0;3375.06;0.0;126.53;128.36;0.02;4.81;0.0;63.53;0.0;126.53;4.186.000.061.035.150;39.08;0.09;9.35;0.6;0.0;9.06;29.66;0.0;12.86;19.45;31.3;6.12;0.0;0.0;0.0;2.57;-4.13
