run,dhw_lph_per_person,people_m2_per_person,gen_lighting_gain,computer_gain,Gas_MWh,Elec_MWh,Gas_kWh/m2,Elec_kWh/m2,Boilers_MWh,Chillers_MWh,Boilers_kWh/m2,Chillers_kWh/m2,CE_kgCO2/m2,UK_BER_kgCO2/m2,EUI_kWh/m2,Ta_max_degC,Boiler_max_kW,Chiller_max_kW,Interior_lighting_kWh/m2,Exterior_lighting_kWh/m2,Space_heating_(gas)_kWh/m2,Space_heating_(elec)_kWh/m2,Space_cooling_kWh/m2,Pumps_kWh/m2,Fans_interior_kWh/m2,DHW_heating_kWh/m2,Receptacle_equipment_kWh/m2,Elevators_escalators_kWh/m2,Data_center_equipment_kWh/m2,Cooking_(gas)_kWh/m2,Cooking_(elec)_kWh/m2,Refrigeration_kWh/m2,Wind_PV_kWh/m2
47,0.78,26.4,Lighting1,Equipment3,0.0,1591.49,0.0,59.66,175.28,256.15,6.57,9.6,28.82,0.0,55.54,49.11000061035156,30.17,127.61,4.1,0.6,0.0,5.62,10.89,6.55,4.26,6.57,13.96,1.79,1.66,0.0,0.0,2.57,-4.13
48,0.78,26.4,Lighting2,Equipment1,0.0,1496.32,0.0,56.09,175.29,238.94,6.57,8.96,26.97,0.0,51.97,48.97999954223633,30.17,121.29,3.29,0.6,0.0,6.22,10.23,6.53,4.31,6.57,11.28,1.79,1.66,0.0,0.0,2.57,-4.13
49,0.78,26.4,Lighting2,Equipment2,0.0,1424.72,0.0,53.41,175.3,226.43,6.57,8.49,25.58,0.0,49.29,48.880001068115234,30.17,118.68,3.29,0.6,0.0,6.71,9.75,6.52,4.34,6.57,8.6,1.79,1.66,0.0,0.0,2.57,-4.13
50,0.78,26.4,Lighting2,Equipment3,0.0,1568.74,0.0,58.81,175.29,251.78,6.57,9.44,28.38,0.0,54.68,49.08000183105469,30.17,125.59,3.29,0.6,0.0,5.75,10.72,6.55,4.26,6.57,13.96,1.79,1.66,0.0,0.0,2.57,-4.13
51,0.78,26.4,Lighting3,Equipment1,0.0,1541.0,0.0,57.77,175.29,247.21,6.57,9.27,27.84,0.0,53.64,49.04999923706055,30.17,124.91,4.91,0.6,0.0,5.93,10.55,6.54,4.3,6.57,11.28,1.79,1.66,0.0,0.0,2.57,-4.13
52,0.78,26.4,Lighting3,Equipment2,0.0,1468.71,0.0,55.06,175.29,234.45,6.57,8.79,26.43,0.0,50.93,48.95000076293945,30.17,122.42,4.91,0.6,0.0,6.41,10.06,6.53,4.34,6.57,8.6,1.79,1.66,0.0,0.0,2.57,-4.13
53,0.78,26.4,Lighting3,Equipment3,0.0,1614.49,0.0,60.52,175.28,260.61,6.57,9.77,29.27,0.0,56.4,49.150001525878906,30.17,127.96,4.91,0.6,0.0,5.49,11.06,6.56,4.26,6.57,13.96,1.79,1.66,0.0,0.0,2.57,-4.13
54,1.44,20.31,Lighting1,Equipment1,0.0,1768.92,0.0,66.31,420.88,260.72,15.78,9.77,32.28,0.0,62.19,49.16999816894531,72.47,128.07,4.1,0.6,0.0,5.49,11.08,6.56,4.3,15.77,11.28,1.79,1.66,0.0,0.0,2.57,-4.13
55,1.44,20.31,Lighting1,Equipment2,0.0,1695.05,0.0,63.54,420.88,247.27,15.78,9.27,30.84,0.0,59.42,49.06999969482422,72.47,127.21,4.1,0.6,0.0,5.95,10.57,6.54,4.33,15.77,8.6,1.79,1.66,0.0,0.0,2.57,-4.13
56,1.44,20.31,Lighting1,Equipment3,0.0,1844.19,0.0,69.14,420.87,274.76,15.78,10.3,33.74,0.0,65.01,49.2599983215332,72.47,128.8,4.1,0.6,0.0,5.07,11.63,6.57,4.27,15.77,13.96,1.79,1.66,0.0,0.0,2.57,-4.13
57,1.44,20.31,Lighting2,Equipment1,0.0,1745.92,0.0,65.45,420.88,256.26,15.78,9.61,31.83,0.0,61.33,49.130001068115234,72.47,127.58,3.29,0.6,0.0,5.63,10.91,6.55,4.3,15.77,11.28,1.79,1.66,0.0,0.0,2.57,-4.13
58,1.44,20.31,Lighting2,Equipment2,0.0,1672.59,0.0,62.7,420.89,242.96,15.78,9.11,30.4,0.0,58.58,49.029998779296875,72.47,125.48,3.29,0.6,0.0,6.09,10.4,6.54,4.33,15.77,8.6,1.79,1.66,0.0,0.0,2.57,-4.13
59,1.44,20.31,Lighting2,Equipment3,0.0,1820.8,0.0,68.26,420.88,270.15,15.78,10.13,33.29,0.0,64.13,49.22999954223633,72.47,128.42,3.29,0.6,0.0,5.19,11.45,6.57,4.27,15.77,13.96,1.79,1.66,0.0,0.0,2.57,-4.13
60,1.44,20.31,Lighting3,Equipment1,0.0,1791.96,0.0,67.18,420.88,265.15,15.78,9.94,32.72,0.0,63.05,49.20000076293945,72.47,128.55,4.91,0.6,0.0,5.36,11.25,6.56,4.3,15.77,11.28,1.79,1.66,0.0,0.0,2.57,-4.13
61,1.44,20.31,Lighting3,Equipment2,0.0,1717.69,0.0,64.39,420.88,251.6,15.78,9.43,31.28,0.0,60.27,49.099998474121094,72.47,127.88,4.91,0.6,0.0,5.81,10.73,6.55,4.33,15.77,8.6,1.79,1.66,0.0,0.0,2.57,-4.13
62,1.44,20.31,Lighting3,Equipment3,0.0,1867.56,0.0,70.01,420.87,279.26,15.78,10.47,34.2,0.0,65.89,49.290000915527344,72.47,129.11,4.91,0.6,0.0,4.94,11.8,6.58,4.28,15.77,13.96,1.79,1.66,0.0,0.0,2.57,-4.13
