run,dhw_lph_per_person,people_m2_per_person,gen_lighting_gain,computer_gain,Gas_MWh,Elec_MWh,Gas_kWh/m2,Elec_kWh/m2,Boilers_MWh,Chillers_MWh,Boilers_kWh/m2,Chillers_kWh/m2,CE_kgCO2/m2,UK_BER_kgCO2/m2,EUI_kWh/m2,Ta_max_degC,Boiler_max_kW,Chiller_max_kW,Interior_lighting_kWh/m2,Exterior_lighting_kWh/m2,Space_heating_(gas)_kWh/m2,Space_heating_(elec)_kWh/m2,Space_cooling_kWh/m2,Pumps_kWh/m2,Fans_interior_kWh/m2,DHW_heating_kWh/m2,Receptacle_equipment_kWh/m2,Elevators_escalators_kWh/m2,Data_center_equipment_kWh/m2,Cooking_(gas)_kWh/m2,Cooking_(elec)_kWh/m2,Refrigeration_kWh/m2,Wind_PV_kWh/m2
49,0.7,5.75,Lighting2,Equipment2,0.0,4435.72,0.0,166.29,449.26,0.02,16.84,0.0,83.39,0.0,160.67,41.2599983215332,136.76,0.08,5.95,0.6,0.0,11.28,24.86,0.0,12.58,68.08,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
50,0.7,5.75,Lighting2,Equipment3,0.0,4711.76,0.0,176.64,449.26,0.02,16.84,0.0,88.76,0.0,171.01,41.29999923706055,136.76,0.09,5.95,0.6,0.0,9.58,27.05,0.0,12.7,68.08,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
51,0.7,5.75,Lighting3,Equipment1,0.0,4641.85,0.0,174.02,449.26,0.02,16.84,0.0,87.4,0.0,168.39,41.290000915527344,136.76,0.09,7.3,0.6,0.0,9.88,26.66,0.0,12.68,68.08,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
52,0.7,5.75,Lighting3,Equipment2,0.0,4470.19,0.0,167.58,449.26,0.02,16.84,0.0,84.06,0.0,161.96,41.2599983215332,136.76,0.08,7.3,0.6,0.0,10.87,25.19,0.0,12.58,68.08,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
53,0.7,5.75,Lighting3,Equipment3,0.0,4750.4,0.0,178.08,449.26,0.02,16.84,0.0,89.51,0.0,172.46,41.29999923706055,136.76,0.09,7.3,0.6,0.0,9.37,27.32,0.0,12.73,68.08,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
54,0.2,8.6,Lighting1,Equipment1,0.0,3140.06,0.0,117.72,85.83,0.01,3.22,0.0,58.18,0.0,112.09,40.040000915527344,26.13,0.06,6.4,0.6,0.0,13.08,23.41,0.0,12.61,13.01,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
55,0.2,8.6,Lighting1,Equipment2,0.0,3012.3,0.0,112.93,85.83,0.01,3.22,0.0,55.69,0.0,107.3,40.02000045776367,26.13,0.07,6.4,0.6,0.0,15.22,22.19,0.0,12.74,13.01,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
56,0.2,8.6,Lighting1,Equipment3,0.0,3248.55,0.0,121.78,85.83,0.01,3.22,0.0,60.29,0.0,116.16,40.060001373291016,26.13,0.06,6.4,0.6,0.0,12.37,24.24,0.0,12.67,13.01,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
57,0.2,8.6,Lighting2,Equipment1,0.0,3127.8,0.0,117.26,85.83,0.01,3.22,0.0,57.94,0.0,111.63,40.040000915527344,26.13,0.07,5.95,0.6,0.0,13.2,23.29,0.0,12.61,13.01,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
58,0.2,8.6,Lighting2,Equipment2,0.0,3004.01,0.0,112.62,85.83,0.01,3.22,0.0,55.53,0.0,106.99,40.02000045776367,26.13,0.07,5.95,0.6,0.0,15.44,22.1,0.0,12.76,13.01,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
59,0.2,8.6,Lighting2,Equipment3,0.0,3236.71,0.0,121.34,85.83,0.01,3.22,0.0,60.06,0.0,115.72,40.04999923706055,26.13,0.06,5.95,0.6,0.0,12.46,24.16,0.0,12.67,13.01,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
60,0.2,8.6,Lighting3,Equipment1,0.0,3165.75,0.0,118.68,85.83,0.01,3.22,0.0,58.68,0.0,113.06,40.040000915527344,26.13,0.06,7.3,0.6,0.0,12.86,23.66,0.0,12.63,13.01,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
61,0.2,8.6,Lighting3,Equipment2,0.0,3029.49,0.0,113.57,85.83,0.01,3.22,0.0,56.02,0.0,107.95,40.02000045776367,26.13,0.07,7.3,0.6,0.0,14.8,22.37,0.0,12.7,13.01,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
62,0.2,8.6,Lighting3,Equipment3,0.0,3271.93,0.0,122.66,85.83,0.01,3.22,0.0,60.74,0.0,117.04,40.060001373291016,26.13,0.06,7.3,0.6,0.0,12.18,24.4,0.0,12.67,13.01,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
63,0.2,17.24,Lighting1,Equipment1,0.0,2997.75,0.0,112.38,42.82,0.0,1.61,0.0,55.41,0.0,106.76,38.790000915527344,13.03,0.04,6.4,0.6,0.0,17.77,20.13,0.0,12.6,6.49,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
64,0.2,17.24,Lighting1,Equipment2,0.0,2901.87,0.0,108.79,42.82,0.0,1.61,0.0,53.54,0.0,103.16,38.77000045776367,13.03,0.05,6.4,0.6,0.0,20.58,19.22,0.0,12.93,6.49,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
65,0.2,17.24,Lighting1,Equipment3,0.0,3109.03,0.0,116.55,42.82,0.0,1.61,0.0,57.57,0.0,110.93,38.79999923706055,13.03,0.04,6.4,0.6,0.0,16.8,21.26,0.0,12.7,6.49,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
66,0.2,17.24,Lighting2,Equipment1,0.0,2987.78,0.0,112.01,42.82,0.0,1.61,0.0,55.21,0.0,106.38,38.779998779296875,13.03,0.04,5.95,0.6,0.0,17.95,20.02,0.0,12.61,6.49,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
67,0.2,17.24,Lighting2,Equipment2,0.0,2894.7,0.0,108.52,42.82,0.0,1.61,0.0,53.4,0.0,102.89,38.7599983215332,13.03,0.06,5.95,0.6,0.0,20.82,19.13,0.0,12.96,6.49,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
68,0.2,17.24,Lighting2,Equipment3,0.0,3096.02,0.0,116.06,42.82,0.0,1.61,0.0,57.32,0.0,110.44,38.79999923706055,13.03,0.04,5.95,0.6,0.0,16.9,21.14,0.0,12.69,6.49,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
69,0.2,17.24,Lighting3,Equipment1,0.0,3020.28,0.0,113.23,42.82,0.0,1.61,0.0,55.85,0.0,107.6,38.790000915527344,13.03,0.04,7.3,0.6,0.0,17.45,20.38,0.0,12.6,6.49,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
70,0.2,17.24,Lighting3,Equipment2,0.0,2916.31,0.0,109.33,42.82,0.0,1.61,0.0,53.82,0.0,103.7,38.77000045776367,13.03,0.06,7.3,0.6,0.0,20.09,19.38,0.0,12.87,6.49,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
71,0.2,17.24,Lighting3,Equipment3,0.0,3132.98,0.0,117.45,42.82,0.0,1.61,0.0,58.04,0.0,111.83,38.79999923706055,13.03,0.05,7.3,0.6,0.0,16.59,21.45,0.0,12.71,6.49,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
72,0.2,5.75,Lighting1,Equipment1,0.0,3319.27,0.0,124.43,128.36,0.02,4.81,0.0,61.66,0.0,118.81,41.279998779296875,39.08,0.09,6.4,0.6,0.0,10.03,26.49,0.0,12.67,19.45,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
73,0.2,5.75,Lighting1,Equipment2,0.0,3149.42,0.0,118.07,128.36,0.02,4.81,0.0,58.36,0.0,112.44,41.2599983215332,39.08,0.08,6.4,0.6,0.0,11.14,24.96,0.0,12.58,19.45,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
74,0.2,5.75,Lighting1,Equipment3,0.0,3427.39,0.0,128.49,128.36,0.02,4.81,0.0,63.77,0.0,122.86,41.29999923706055,39.08,0.09,6.4,0.6,0.0,9.51,27.14,0.0,12.71,19.45,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
75,0.2,5.75,Lighting2,Equipment1,0.0,3306.77,0.0,123.97,128.36,0.02,4.81,0.0,61.42,0.0,118.34,41.279998779296875,39.08,0.09,5.95,0.6,0.0,10.1,26.4,0.0,12.67,19.45,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
76,0.2,5.75,Lighting2,Equipment2,0.0,3138.57,0.0,117.66,128.36,0.02,4.81,0.0,58.15,0.0,112.04,41.2599983215332,39.08,0.08,5.95,0.6,0.0,11.28,24.86,0.0,12.58,19.45,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
77,0.2,5.75,Lighting2,Equipment3,0.0,3414.6,0.0,128.01,128.36,0.02,4.81,0.0,63.52,0.0,122.38,41.29999923706055,39.08,0.09,5.95,0.6,0.0,9.58,27.05,0.0,12.7,19.45,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
78,0.2,5.75,Lighting3,Equipment1,0.0,3344.7,0.0,125.39,128.36,0.02,4.81,0.0,62.16,0.0,119.76,41.290000915527344,39.08,0.09,7.3,0.6,0.0,9.88,26.66,0.0,12.68,19.45,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
79,0.2,5.75,Lighting3,Equipment2,0.0,3173.03,0.0,118.95,128.36,0.02,4.81,0.0,58.82,0.0,113.33,41.2599983215332,39.08,0.08,7.3,0.6,0.0,10.87,25.19,0.0,12.58,19.45,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
80,0.2,5.75,Lighting3,Equipment3,0.0,3453.24,0.0,129.46,128.36,0.02,4.81,0.0,64.27,0.0,123.83,41.29999923706055,39.08,0.09,7.3,0.6,0.0,9.37,27.32,0.0,12.73,19.45,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
